kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
翼,2018,羽,17,S,wing,ヨク,つばさ
拉,2019,手,8,S,crush,ラ,
裸,2020,衣,13,S,naked,ラ,はだか
羅,2021,网,19,S,gauze,ラ,
来,2022,人,7,2,come,ライ,く-る、きた-る、きた-す
雷,2023,雨,13,S,thunder,ライ,かみなり
頼,2024,貝,16,S,trust,ライ,たの-む、たの-もしい、たよ-る
絡,2025,糸,12,S,entwine,ラク,から-む、から-まる、から-める
落,2026,艸,12,3,fall,ラク,お-ちる、お-とす
酪,2027,酉,13,S,dairy products,ラク,
辣,2028,辛,14,S,bitter,ラツ,
乱,2029,乙,7,6,riot,ラン,みだ-れる、みだ-す
卵,2030,卩,7,6,egg,ラン,たまご
覧,2031,見,17,6,perusal,ラン,
濫,2032,水,18,S,excessive,ラン,
藍,2033,艸,18,S,indigo,ラン,あい
欄,2034,木,20,S,column,ラン,
吏,2035,口,6,S,officer,リ,
利,2036,刀,7,4,profit,リ,き-く
